security_id,trading_symbol,company_name,lot_size,tick_size
6863,BAJAJHCARE,BAJAJ HEALTHCARE LIMITED,1.0,5.0
25270,BAJAJHFL,BAJAJ HOUSING FINANCE LTD,1.0,1.0
308,BAJAJHIND,BAJAJ HINDUSTHAN SUGAR LT,1.0,1.0
305,BAJAJHLDNG,BAJAJ HOLDINGS & INVS LTD,1.0,100.0
29678,BAJAJINDEF,INDEF MANUFACTURING LTD,1.0,1.0
20531,BAJEL,BAJEL PROJECTS LIMITED,1.0,1.0
317,BAJFINANCE,BAJAJ FINANCE LIMITED,1.0,50.0
25203,BALAJEE,SHREE TIRUPATI BALAJEE L,1.0,1.0
9158,BALAJITELE,BALAJI TELEFILMS LIMITED.,1.0,1.0
14501,BALAMINES,BALAJI AMINES LIMITED,1.0,10.0
11309,BALAXI,BALAXI PHARMA LTD,1.0,1.0
10181,BALKRISHNA,BALKRISHNA PAPER MILLS L,1.0,1.0
335,BALKRISIND,BALKRISHNA IND. LTD,1.0,10.0
338,BALMLAWRIE,BALMER LAWRIE & CO LTD,1.0,1.0
13441,BALPHARMA,BAL PHARMA LTD.,1.0,1.0
341,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD,1.0,5.0
23607,BALUFORGE,BALU FORGE INDUSTRIES LTD,1.0,5.0
347,BANARBEADS,BANARAS BEADS LTD,1.0,1.0
350,BANARISUG,BANNARI AMMAN SUGARS LTD,1.0,10.0
13880,BANCOINDIA,BANCO PRODUCTS (I) LTD,1.0,5.0
2263,BANDHANBNK,BANDHAN BANK LIMITED,1.0,1.0
15303,BANG,BANG OVERSEAS LTD.,1.0,1.0
822,BANKA,BANKA BIOLOO LIMITED,1.0,1.0
4668,BANKBARODA,BANK OF BARODA,1.0,1.0
11439,BANKBEES,NIP IND ETF BANK BEES,1.0,1.0
21986,BANKBETF,BFAM - BANKBETF,1.0,1.0
17419,BANKETF,MIRAEAMC - BANKETF,1.0,1.0
13644,BANKETFADD,DSPAMC - DSPBANKETF,1.0,1.0
11037,BANKIETF,ICICIPRAMC - IPRU5008,1.0,1.0
4745,BANKINDIA,BANK OF INDIA,1.0,1.0
5851,BANKNIFTY1,KOTAKMAMC-KOTAKBKETF,1.0,1.0
25725,BANKPSU,MIRAEAMC - BANKPSU,1.0,1.0
24386,BANSALWIRE,BANSAL WIRE INDUSTRIES L,1.0,5.0
14511,BANSWRAS,BANSWARA SYNTEX LIMITED,1.0,1.0
3127,BARBEQUE,BARBEQUE NATION HOSP. LTD,1.0,5.0
368,BASF,BASF INDIA LTD,1.0,50.0
12034,BASML,BANNARI AM SPIN MILL LTD.,1.0,1.0
371,BATAINDIA,BATA INDIA LTD,1.0,10.0
17927,BAYERCROP,BAYER CROPSCIENCE LTD,1.0,50.0
7196,BBETF0432,EDELAMC - BBETF0432,1.0,1.0
